"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"baylor",1903,"2021",117,1229,609,577,41,0.513,26,14,12,0,0.538,2.81,2.67,16,9,"record adjusted to 609-577-40 by NCAA"
"beloit",1894,"1905",9,85,39,36,10,0.518,0,0,0,0,0,-1.3,-1.39,0,0,""
"birmingham-southern",1920,"1924",4,36,16,17,3,0.486,0,0,0,0,0,-5.29,-4.68,0,0,""
"boise-state",1996,"2021",27,328,253,75,0,0.771,19,12,7,0,0.632,6.1,-4.12,13,14,"record adjusted to 254-74-0 by NCAA"
"boston-college",1901,"2021",88,942,518,408,14,0.559,27,14,13,0,0.519,1.92,-0.04,14,1,""
"boston-university",1923,"1964",20,170,73,90,7,0.45,0,0,0,0,0,-6.91,-4.99,1,0,""
"bowdoin",1896,"1905",7,66,33,30,3,0.523,0,0,0,0,0,-2.71,-2.47,0,0,""
"bowling-green-state",1962,"2021",61,671,359,301,11,0.543,12,5,7,0,0.417,-5.37,-6.48,1,9,""
"bradley",1949,"1951",3,29,14,15,0,0.483,0,0,0,0,0,-12.91,-12.75,0,0,""
"brigham-young",1922,"2021",98,1061,603,431,26,0.581,39,16,22,1,0.423,-0.75,-3.15,19,23,""
"brown",1878,"1981",93,858,431,392,35,0.523,1,0,1,0,0,-2.89,-3.54,0,1,""
"bucknell",1888,"1946",40,357,168,157,32,0.515,1,1,0,0,1,-2.93,-2.85,0,0,""
"buffalo",1962,"2021",33,359,139,215,4,0.394,5,2,3,0,0.4,-10.12,-7.11,1,1,""
"butler",1932,"1933",2,15,4,10,1,0.3,0,0,0,0,0,-16.48,-10.26,0,0,""
"cal-state-fullerton",1975,"1992",18,205,76,127,2,0.376,1,0,1,0,0,-12.72,-7.22,0,2,"record adjusted to 78-125-2 by NCAA"
"cal-state-los-angeles",1969,"1971",3,29,3,26,0,0.103,0,0,0,0,0,-27.59,-9.75,0,0,""
"california",1916,"2021",107,1147,585,528,31,0.525,24,12,11,1,0.521,5.29,4.04,14,13,"record adjusted to 582-527-31 by NCAA"
"california-santa-barbara",1969,"1971",3,32,11,21,0,0.344,0,0,0,0,0,-13.35,-7.22,0,0,""
"camp-grant",1943,"1943",1,10,2,6,2,0.3,0,0,0,0,0,8.98,14.38,0,0,""
"carlisle",1896,"1917",21,252,165,77,10,0.675,0,0,0,0,0,8.26,0.94,0,0,""
"carnegie-mellon",1910,"1940",20,172,84,75,13,0.526,1,0,1,0,0,4.03,1.5,1,0,""
"centenary-la",1930,"1941",12,131,69,48,14,0.58,1,0,0,1,0.5,0.22,-1.79,0,0,""
"central-florida",1996,"2021",27,318,183,135,0,0.575,13,6,7,0,0.462,-0.21,-3.67,5,6,""
"central-michigan",1975,"2021",48,544,293,240,11,0.549,13,4,9,0,0.308,-6.37,-7.79,1,7,""
"centre",1919,"1935",8,74,51,20,3,0.709,3,2,1,0,0.667,9.14,-0.02,0,0,""
"charlotte",2015,"2021",8,79,26,53,0,0.329,1,0,1,0,0,-13.18,-6.25,0,0,""
"chattanooga",1909,"1981",22,218,105,100,13,0.511,0,0,0,0,0,-5.92,-6.18,0,3,""
"chicago",1892,"1939",48,466,287,147,32,0.65,0,0,0,0,0,7.28,2.92,0,7,""
"cincinnati",1954,"2021",69,768,385,369,12,0.51,18,8,10,0,0.444,-2.3,-2.36,8,10,""
"citadel",1909,"1981",65,609,284,304,21,0.484,1,1,0,0,1,-7.47,-6.72,0,1,""
"clemson",1902,"2021",121,1277,758,458,44,0.619,48,26,22,0,0.542,5.71,1.74,35,22,""
"coast-guard",1944,"1945",2,17,6,10,1,0.382,0,0,0,0,0,-4.68,-1.1,0,0,""
"coastal-carolina",2017,"2021",6,61,35,26,0,0.574,2,1,1,0,0.5,-3.7,-5.97,1,1,""
"coe",1905,"1905",1,9,1,7,1,0.167,0,0,0,0,0,-18.57,-4.35,0,0,""
"colby",1904,"1904",1,7,2,4,1,0.357,0,0,0,0,0,-5.3,1.55,0,0,""
"colgate",1905,"1981",76,670,363,266,41,0.572,0,0,0,0,0,-0.87,-4.01,0,0,""
"colorado",1902,"2021",121,1201,665,498,35,0.57,30,12,18,0,0.4,4,1.35,19,19,""
"colorado-college",1902,"1945",39,296,169,109,18,0.601,0,0,0,0,0,-1.27,-4.88,1,2,""
"colorado-mines",1902,"1937",36,239,98,128,13,0.437,0,0,0,0,0,-6.56,-4.56,0,3,""
"colorado-state",1902,"2021",115,1131,523,576,31,0.477,17,6,11,0,0.353,-3.92,-2.94,3,15,"record adjusted to 524-575-31 by NCAA"
"columbia",1870,"1981",84,699,282,382,35,0.428,1,1,0,0,1,-4.55,-1.67,2,1,""
"connecticut",1979,"2021",24,265,104,159,2,0.396,6,3,3,0,0.5,-6.5,-2.53,0,2,""
"cornell",1888,"1981",93,837,488,317,32,0.602,0,0,0,0,0,2.2,-2.18,5,1,"record adjusted to 488-315-34 by NCAA"
"cornell-college",1903,"1903",1,9,1,8,0,0.111,0,0,0,0,0,-14.48,-2.14,0,0,""
"creighton",1927,"1942",16,139,61,70,8,0.468,0,0,0,0,0,-6.26,-5.08,0,1,""
"cumberland",1903,"1905",2,13,7,5,1,0.577,0,0,0,0,0,5.07,-0.79,0,0,""
"dartmouth",1881,"1981",93,795,502,258,35,0.653,0,0,0,0,0,3.5,-2.81,5,12,""
"davidson",1902,"1973",66,601,248,312,40,0.447,1,0,1,0,0,-7.33,-5.96,0,1,""
"dayton",1956,"1976",21,216,78,130,8,0.38,0,0,0,0,0,-13.09,-8.45,0,0,""
"del-monte-pre-flight",1943,"1943",1,8,7,1,0,0.875,0,0,0,0,0,12.87,-6.25,1,0,""
"denver",1902,"1960",59,520,259,228,33,0.53,2,0,2,0,0,-4.08,-4.86,0,6,""
"detroit-mercy",1927,"1964",36,338,196,132,10,0.595,0,0,0,0,0,0.21,-4.25,0,3,""
"dickinson",1889,"1910",18,173,84,79,10,0.514,0,0,0,0,0,-3.19,-3.54,0,0,""
"drake",1900,"1985",73,666,316,326,24,0.492,3,2,1,0,0.667,-5.6,-5.7,0,7,""
"drury",1907,"1907",1,5,1,4,0,0.2,0,0,0,0,0,-13.17,-3.97,0,0,""
"duke",1922,"2021",101,1068,500,539,28,0.482,14,6,8,0,0.429,2.51,2.73,16,17,""
"duquesne",1933,"1950",14,132,80,49,3,0.617,1,1,0,0,1,1.04,-2.38,3,0,""
"east-carolina",1965,"2021",58,652,334,315,3,0.515,16,7,9,0,0.438,-2.73,-2.76,2,6,"record adjusted to 335-314-3 by NCAA"
"east-tennessee-state",1979,"1981",3,33,15,18,0,0.455,0,0,0,0,0,-9.46,-8.43,0,0,""
"eastern-michigan",1975,"2021",48,531,168,355,7,0.324,5,1,4,0,0.2,-14.2,-7.24,0,1,""
"erskine",1919,"1936",5,39,12,27,0,0.308,0,0,0,0,0,-13.04,-5.98,0,0,""
